(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(5)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1454)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1459)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1473)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1488)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1494)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1503)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1522)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1532)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1534)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(5)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(10)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(26)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(27)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(28)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(30)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(36)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(42)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(44)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(49)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(50)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(66)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(67)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(70)), {C=0.0008331597583836702, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(95)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(121)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(133)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(174)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(179)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(199)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(216)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(228)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(299)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(304)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(309)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(360)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(368)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(382)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(384)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(390)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(396)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(404)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(407)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(414)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(417)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(422)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(423)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(425)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(431)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(436)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(443)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(447)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(452)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(460)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(463)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(467)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(475)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(487)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(488)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(489)), {C=0.0005207248489897938, S=0.00048633401420095323}
