(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(3)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(214)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(220)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(221)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(226)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(227)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(230)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(232)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(241)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(242)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(243)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(245)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(248)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(250)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(251)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(254)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(256)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(258)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(261)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(263)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(269)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(270)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(278)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(282)), {C=0.0010188487009679063, S=0.0009726680284019065}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(284)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(286)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(292)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(294)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(297)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(301)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(303)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(304)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(312)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(316)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(317)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(323)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(328)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(331)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(332)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(334)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(339)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(340)), {C=0.0011207335710646969, S=0.001069934831242097}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(344)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(347)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(348)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(349)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(350)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(352)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(358)), {C=0.0011207335710646969, S=0.001069934831242097}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(360)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(362)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(375)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(376)), {C=0.0010188487009679063, S=0.0009726680284019065}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(379)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(385)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(388)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(389)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(390)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(391)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(395)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(397)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(402)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(404)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(406)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(407)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(408)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(410)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(412)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(414)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(415)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(417)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(420)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(424)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(426)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(427)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(430)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(434)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(439)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(446)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(447)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(448)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(450)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(455)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(457)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(462)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(464)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(469)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(472)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(473)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(474)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(476)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(477)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(478)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(479)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(481)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(482)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(483)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(484)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(492)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(493)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(499)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(502)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(508)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(509)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(510)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(511)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(513)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(514)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(519)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(520)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(521)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(523)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(527)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(529)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(530)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(531)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(534)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(536)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(537)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(542)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(543)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(544)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(547)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(549)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(550)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(556)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(558)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(564)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(567)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(568)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(569)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(570)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(573)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(575)), {C=0.0005094243504839531, S=0.00048633401420095323}
