(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(873)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(885)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(890)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(924)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(943)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(951)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(953)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(968)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(980)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1012)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1017)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1022)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1071)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1074)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1099)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1165)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1179)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1190)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1218)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1230)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1244)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1262)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1277)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1312)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1316)), {C=0.0007063572149344097, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1317)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1375)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1383)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1388)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1394)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1428)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1451)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0009081735620585269, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1469)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1472)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1481)), {C=0.0006054490413723512, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1485)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1494)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1496)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1506)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1521)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1525)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1542)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1547)), {C=0.0005045408678102926, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1548)), {C=0.0006054490413723512, S=0.0005836008170411438}
