(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(13)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0008980243464378368, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(381)), {C=0.0007982438635002994, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0008980243464378368, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(423)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(431)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(432)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(436)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(449)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(459)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0007982438635002994, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0008980243464378368, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(485)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(487)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0007982438635002994, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(498)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(535)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(539)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(553)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(558)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(565)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(572)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(580)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(594)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(599)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(600)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(607)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(617)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(621)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(624)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(635)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(638)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(668)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(677)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(694)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(695)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(699)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(724)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(725)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.0008980243464378368, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0006984633805627619, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(759)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(762)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(763)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(764)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(773)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(777)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(780)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(785)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(795)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(799)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(806)), {C=0.0005986828976252245, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(807)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(809)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(813)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(833)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(834)), {C=0.0004989024146876871, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0004989024146876871, S=0.00048633401420095323}
