(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(252)), {C=0.0008075913587724613, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(279)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(312)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(344)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(372)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(373)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0009085402786190189, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(396)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(397)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(401)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(405)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0008075913587724613, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(434)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(441)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0010094891984655766, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(445)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(455)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0009085402786190189, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(465)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(473)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(477)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(482)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(483)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(490)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(500)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(503)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(509)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(517)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0009085402786190189, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(543)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(545)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(569)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(574)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(588)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(595)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(596)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(597)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(616)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(618)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(625)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.0008075913587724613, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(654)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(666)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(697)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(707)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(710)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(716)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(717)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(720)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(747)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(777)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(782)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(788)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(793)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(811)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(820)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(826)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(834)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(854)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(865)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(866)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(872)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0009085402786190189, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(888)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(898)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(904)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0009085402786190189, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(906)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(913)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(922)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(961)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(967)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(969)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(976)), {C=0.0005047445992327883, S=0.00048633401420095323}
