(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(24)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(865)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(940)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(948)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(965)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(967)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(969)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(979)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(984)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(998)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1058)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1059)), {C=0.0007077140835102619, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1075)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1217)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1234)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1289)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1337)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1381)), {C=0.0007077140835102619, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1383)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1410)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1442)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1460)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1464)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(1492)), {C=0.0005055100596501871, S=0.00048633401420095323}
