(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(2)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(56)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(58)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(59)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(61)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(62)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(63)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(64)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(66)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(69)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(70)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(73)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(75)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(78)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(79)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(80)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(81)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(82)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(83)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(84)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(86)), {C=0.0015103458692040477, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(87)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(88)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(90)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(91)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(95)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(96)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(101)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(105)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(107)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(109)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(111)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(115)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(116)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(118)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(119)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(120)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(121)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(123)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(130)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(132)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(134)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(135)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(136)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(137)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(138)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(142)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(143)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(146)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(147)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(151)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(153)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(154)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(156)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(157)), {C=0.0015103458692040477, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(159)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(160)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(162)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(163)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(164)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(165)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(168)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(170)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(172)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(173)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(176)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(178)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(179)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(180)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(183)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(186)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(187)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(188)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(190)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(191)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(193)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(195)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(196)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(197)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(198)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(199)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(200)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(206)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(208)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(211)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(217)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(219)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(220)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(222)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(223)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(226)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(227)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(228)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(229)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(230)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(231)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(232)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(234)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(239)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(241)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(244)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(246)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(248)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(250)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(252)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(253)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(254)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(255)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(257)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(258)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(259)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(260)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(263)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(264)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(268)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(270)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(271)), {C=0.001963449629965262, S=0.0012644684369224784}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(272)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(278)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(279)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(280)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(283)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(284)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(286)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(287)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(288)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(289)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(292)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(293)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(294)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(297)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(298)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(299)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(300)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(302)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(303)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(304)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(305)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(306)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(311)), {C=0.0015103458692040477, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(312)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(313)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(315)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(316)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(317)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(319)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(320)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(321)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(323)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(326)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(327)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(329)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(330)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(331)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(334)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(337)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(338)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(339)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(341)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(343)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(344)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(345)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(348)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(349)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(350)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(351)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(352)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(353)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(356)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(358)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(359)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(360)), {C=0.0009062075215224286, S=0.0005836008170411438}
