(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(22)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(584)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(589)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(592)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(603)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(604)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(606)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(611)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(614)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(617)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(620)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(621)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(623)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(629)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(631)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(634)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(635)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(648)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(649)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(652)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(664)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(671)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(683)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(686)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(690)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(698)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(710)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(712)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(723)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(733)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(736)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(751)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(756)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(768)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(775)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(779)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(782)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(793)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(800)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(808)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(813)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(818)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(820)), {C=0.0013527731850293103, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(837)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(841)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(844)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(848)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(849)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(857)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(863)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(868)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(869)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(876)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(882)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(883)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(887)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(891)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(900)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(904)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(914)), {C=0.0013527731850293103, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(917)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(920)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(923)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(927)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(928)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(930)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(931)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(933)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(937)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(938)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(939)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(947)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(948)), {C=0.0013527731850293103, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(956)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(962)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(964)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(967)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(969)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(970)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(975)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(976)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(979)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(984)), {C=0.0015030813166992335, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(988)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(991)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(997)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1006)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1020)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1039)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1043)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1044)), {C=0.0015030813166992335, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1050)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1070)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1072)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1078)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1079)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1082)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1083)), {C=0.00090184879001954, S=0.0005836008170411438}
