(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0010347682119205299, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(268)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(275)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(277)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(278)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(279)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(282)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(290)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(291)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(312)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(323)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(342)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(346)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(363)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0011382450331125827, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(374)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(378)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(386)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(395)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(396)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(397)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(399)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(403)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(405)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(429)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(431)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(432)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(440)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0010347682119205299, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0012417218543046356, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(462)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(464)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(466)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(467)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(473)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(486)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(492)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(495)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(496)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(498)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(503)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(509)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(532)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(539)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(540)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(545)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(550)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(562)), {C=0.0006208609271523178, S=0.0005836008170411438}
