(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(359)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(395)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(396)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(402)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(406)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(410)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(413)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(421)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(422)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(423)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(438)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0011676042882921135, S=0.001069934831242097}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(458)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(463)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(465)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(502)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(509)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(519)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(532)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(536)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(543)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(556)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(581)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(588)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(595)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(596)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(602)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(607)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(621)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(633)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(638)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(645)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(650)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(660)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(666)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(681)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(705)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(716)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(719)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(724)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(727)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(729)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(736)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(746)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(757)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(765)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(766)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(809)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(838)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(843)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(848)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(852)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(854)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(858)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(872)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(874)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(877)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(887)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(894)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(898)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(902)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(903)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(906)), {C=0.0005307292219509606, S=0.00048633401420095323}
