(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0009037959429604339, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(316)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(322)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(334)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(340)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(347)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(378)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(422)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(432)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(436)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(445)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(446)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(458)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(463)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(469)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(472)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(473)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(474)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(476)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(493)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(520)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(521)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(534)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(576)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(577)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(584)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(590)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(604)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(608)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(619)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(622)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(661)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(663)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(667)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(668)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(679)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(681)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(689)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(696)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(725)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(728)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(735)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(742)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(751)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(765)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(778)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(791)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(796)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(821)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(822)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(830)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(833)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(845)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(855)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(865)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(872)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(884)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(889)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(893)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(903)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(915)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(920)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(921)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(928)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(930)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(931)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(939)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(946)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(947)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(950)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(955)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(964)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(990)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(994)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1006)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1012)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1044)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1046)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1048)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1058)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1063)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1084)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1094)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1099)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1114)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1129)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1134)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1140)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1145)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1150)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1167)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1176)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1177)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1184)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1187)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1188)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1193)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1204)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1206)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1207)), {C=0.000502108857200241, S=0.00048633401420095323}
