(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(422)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(443)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(581)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(587)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(650)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(727)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(736)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.000748663101604278, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(814)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(827)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(870)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(883)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(887)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(894)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(907)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(933)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(967)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(969)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(992)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1084)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1100)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1122)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.000748663101604278, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1286)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1309)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1319)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1381)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1459)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1466)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(36)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(108)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(333)), {C=0.000748663101604278, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(422)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(443)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(581)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(587)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(650)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(727)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(736)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.000748663101604278, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(814)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(827)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(870)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(883)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(887)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(894)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(907)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(933)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(967)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(969)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(992)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1084)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1100)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1122)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.000748663101604278, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1286)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1309)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1319)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1381)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1459)), {C=0.0005347593582887701, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1466)), {C=0.0006417112299465241, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.0005347593582887701, S=0.00048633401420095323}
