(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1309)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1391)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1462)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1473)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(147)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(284)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(302)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(333)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(345)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(384)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(390)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(400)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(477)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(484)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(487)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(492)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(519)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(536)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(646)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(656)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(674)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(688)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(718)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(778)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(805)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(840)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(848)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(870)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1003)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1005)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1100)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1134)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1136)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1175)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1226)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1272)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1309)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1391)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1462)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1473)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(147)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(284)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(302)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(333)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(345)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(384)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(390)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(400)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(477)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(484)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(487)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(492)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(519)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(536)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(646)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(656)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(674)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(688)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(718)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(778)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(805)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(840)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(848)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(870)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1003)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1005)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1100)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0007093875620714116, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1134)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1136)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1175)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1226)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1272)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0008276188224166468, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1309)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1391)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1462)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0005911563017261764, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N))(marital_status(M)) --> (buy(1473)), {C=0.0005911563017261764, S=0.00048633401420095323}
