(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(858)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(864)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(979)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1023)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1069)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1106)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1161)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1169)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1196)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1218)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1251)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1274)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1276)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1300)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1419)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1437)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1469)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1499)), {C=0.0006006607267994794, S=0.0005836008170411438}
