(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(114)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(116)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(118)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(122)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(126)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(131)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(138)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(139)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(163)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(168)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(179)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(182)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(185)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(194)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(206)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(208)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(213)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(244)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(255)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(268)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(273)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(280)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(282)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(290)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(297)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(304)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(312)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(315)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(317)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(321)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(338)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(349)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(357)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(360)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(361)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(374)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(375)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(379)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(381)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(387)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(389)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(397)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(399)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(406)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(411)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(414)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(417)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(422)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(424)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(426)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(427)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(428)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(429)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(437)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(444)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(447)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(461)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(463)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(464)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(478)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(486)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(489)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(504)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(505)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(507)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(511)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(513)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(515)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(519)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(524)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(532)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(549)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(556)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(559)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(570)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(572)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(573)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(601)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(610)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(617)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(623)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(627)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(629)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(639)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(642)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(650)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(651)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(656)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(662)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(676)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(689)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(706)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(714)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(733)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(751)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(755)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(765)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(797)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(801)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(804)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(806)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(826)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(829)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(831)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(833)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(845)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(847)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(851)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(862)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(866)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(875)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(880)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(887)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(896)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(897)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(898)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(916)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(921)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(925)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(931)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(936)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(939)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(945)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(964)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(966)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(972)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(975)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(987)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(988)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(991)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1004)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1006)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1010)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1012)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1018)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1019)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1021)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1028)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1029)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1054)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1055)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1059)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1061)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1064)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1066)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1067)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1072)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1076)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1090)), {C=0.0005114566284779051, S=0.00048633401420095323}
