(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(12)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(692)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(696)), {C=0.0008121002943863568, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(700)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(761)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(770)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(791)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(797)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(801)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(804)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(834)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(839)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(840)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(873)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(883)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(896)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(905)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(912)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(920)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(928)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(947)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(951)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(952)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(992)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1001)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1011)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1018)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1024)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1026)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1036)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1084)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1086)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1100)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1105)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1117)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1135)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1140)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1153)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1162)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1183)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1193)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1222)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1244)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1266)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1287)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1289)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1305)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1308)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1326)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1336)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1342)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1344)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1349)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1353)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1362)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1367)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1394)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1403)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1405)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1409)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1411)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1412)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1415)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1424)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1430)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1434)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1440)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1452)), {C=0.0008121002943863568, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1463)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1473)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1494)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1498)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1499)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1505)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1510)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1516)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1537)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(1543)), {C=0.000507562683991473, S=0.00048633401420095323}
