(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(54)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(550)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(595)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(609)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(622)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(628)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(698)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(748)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(784)), {C=0.0007175071750717506, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(866)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(926)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(958)), {C=0.0007175071750717506, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(965)), {C=0.0007175071750717506, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(980)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(983)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(989)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1016)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1103)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1124)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1127)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1237)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1263)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1290)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1385)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1398)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1413)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1504)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1536)), {C=0.0005125051250512505, S=0.00048633401420095323}
