(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(37)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(545)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(569)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(598)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(622)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(638)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(639)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(643)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(723)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(738)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(830)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(841)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(860)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(873)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(882)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(884)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(897)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(905)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(971)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(992)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(994)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(996)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1012)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1028)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1069)), {C=0.0007028818154433176, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1091)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1124)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1128)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1145)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1162)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1171)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1209)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1287)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1302)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1368)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1373)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1380)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1401)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1411)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1416)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1434)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1436)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1441)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1456)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1479)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1489)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1510)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1538)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(1553)), {C=0.0005020584396023698, S=0.00048633401420095323}
