(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(11)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(230)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(237)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(267)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(271)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(277)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(303)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(317)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(318)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(327)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(334)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(336)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(350)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(358)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(364)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(388)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(392)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(410)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(417)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(426)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(437)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(451)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(455)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(456)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(457)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(467)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(484)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(489)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(502)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(519)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(533)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(536)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(537)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(541)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(546)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(549)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(570)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(574)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(583)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(585)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(587)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(590)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(614)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(627)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(634)), {C=0.0010278548668927949, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(659)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(664)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(666)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(681)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(718)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(725)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(728)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(736)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(739)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(772)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(819)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(820)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(825)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(827)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(829)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(830)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(831)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(840)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(848)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(853)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(858)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(864)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(879)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(881)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(883)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(896)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(897)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(898)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(912)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(915)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(916)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(919)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(934)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(938)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(947)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(952)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(953)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(956)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(969)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(973)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(979)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(987)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(990)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(992)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(993)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1015)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1018)), {C=0.0009250693802035153, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1022)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1023)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1052)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1063)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1069)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1073)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1077)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1086)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1088)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1089)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1092)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1106)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1121)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1123)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1127)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1136)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1150)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1161)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1165)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1169)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1173)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1192)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1196)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1198)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1206)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1218)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1245)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1251)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1254)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1261)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1262)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1274)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1276)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1280)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1281)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1282)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1298)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1300)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1352)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1356)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1389)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1398)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1419)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1432)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1437)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1446)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1452)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1455)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1462)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1463)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1467)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1469)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1473)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1474)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1483)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1491)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1494)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1499)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1518)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(1541)), {C=0.0005139274334463974, S=0.00048633401420095323}
