(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(98)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(101)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(102)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(103)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(107)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(109)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(111)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(114)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(118)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(121)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(124)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(126)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(127)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(130)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(132)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(133)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(134)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(140)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(141)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(142)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(143)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(144)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(145)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(146)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(147)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(149)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(151)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(153)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(154)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(157)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(158)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(159)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(162)), {C=0.0013417277324801321, S=0.0012644684369224784}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(164)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(166)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(170)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(172)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(173)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(174)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(176)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(178)), {C=0.0013417277324801321, S=0.0012644684369224784}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(180)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(181)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(183)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(186)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(188)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(190)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(193)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(194)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(195)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(196)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(198)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(199)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(200)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(202)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(205)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(206)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(207)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(211)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(212)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(214)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(217)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(219)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(220)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(221)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(222)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(223)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(225)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(226)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(227)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(228)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(230)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(231)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(232)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(233)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(234)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(235)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(238)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(243)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(244)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(248)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(250)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(254)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(255)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(256)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(257)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(260)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(261)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(264)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(268)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(269)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(270)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(271)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(274)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(278)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(279)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(281)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(283)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(284)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(286)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(289)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(290)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(291)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(293)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(296)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(297)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(298)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(300)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(301)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(302)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(303)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(304)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(305)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(306)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(308)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(309)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(311)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(312)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(313)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(316)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(318)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(319)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(321)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(323)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(324)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(325)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(327)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(330)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(331)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(333)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(334)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(335)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(338)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(339)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(341)), {C=0.000516049127876974, S=0.00048633401420095323}
