(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(98)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(106)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(107)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(108)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(109)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(119)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(121)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(122)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(125)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(126)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(132)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(133)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(134)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(137)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(138)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(140)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(146)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(148)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(152)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(153)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(154)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(157)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(158)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(160)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(161)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(164)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(166)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(170)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(173)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(177)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(181)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(184)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(185)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(188)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(192)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(198)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(201)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(202)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(204)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(205)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(209)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(214)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(216)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(221)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(223)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(227)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(230)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(232)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(240)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(241)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(242)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(243)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(246)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(248)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(254)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(255)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(258)), {C=0.0010163634515702815, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(259)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(262)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(263)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(273)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(274)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(277)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(278)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(281)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(282)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(283)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(287)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(289)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(290)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(295)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(296)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(307)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(310)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(313)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(318)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(328)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(329)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(334)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(335)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(336)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(339)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(344)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(345)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(347)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(350)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(352)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(355)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(356)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(357)), {C=0.0010163634515702815, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(359)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(360)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(361)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(363)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(364)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(368)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(370)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(371)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(372)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(375)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(381)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(382)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(384)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(387)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(388)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(389)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(390)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(391)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(394)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(395)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(396)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(398)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(400)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(402)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(407)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(415)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(416)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(417)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(418)), {C=0.0011179997967273097, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(419)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(421)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(422)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(423)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(424)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(426)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(427)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(428)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(429)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(430)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(432)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(433)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(434)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(437)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(449)), {C=0.0010163634515702815, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(450)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(451)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(454)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(456)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(457)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(459)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(460)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(461)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(463)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(464)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(465)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(466)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(469)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(471)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(472)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(473)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(475)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(476)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(479)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(480)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(484)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(486)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(487)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(488)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(489)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(490)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(491)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(492)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(493)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(495)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(499)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(501)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(510)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(511)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(516)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(518)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(521)), {C=0.000711454416099197, S=0.0006808676198813345}
