(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(5)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(408)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(438)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(448)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(449)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(462)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(471)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0008327261371916312, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(520)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(526)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(534)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(536)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(548)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(565)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(581)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(582)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(592)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(606)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(613)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(616)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(620)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(623)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(669)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(671)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(687)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(698)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(701)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(710)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(715)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(743)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(750)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(765)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(794)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(810)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(859)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(860)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(865)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(867)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(874)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(876)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(885)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(886)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(924)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(929)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(930)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(943)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(949)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(956)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(959)), {C=0.0008327261371916312, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(982)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(997)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1003)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1025)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1029)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1031)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1044)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1054)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1066)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1077)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1097)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1110)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1112)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1113)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1123)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1130)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1137)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1139)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1141)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1144)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1164)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1187)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1199)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1200)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1201)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1206)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1215)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1224)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1249)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1250)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1251)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1257)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1274)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1282)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1284)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1286)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1297)), {C=0.0009368169043405851, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1299)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1319)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1320)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1325)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1341)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1343)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1351)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1365)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1370)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1393)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1422)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1478)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1480)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1487)), {C=0.0008327261371916312, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1488)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1490)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(1496)), {C=0.0006245446028937233, S=0.0005836008170411438}
