(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(232)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(272)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(286)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(298)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(312)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(353)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(369)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(371)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(415)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(441)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(459)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(463)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(472)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(506)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(524)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(541)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(561)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(581)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(609)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(610)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(615)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(633)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(634)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(636)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(637)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(647)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(650)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(656)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(677)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(707)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(709)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(729)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(740)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(742)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(763)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(786)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(790)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(795)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(800)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(803)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(823)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(840)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(841)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(842)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(843)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(850)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(852)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(867)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(868)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(871)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(873)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(878)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(879)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(893)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0010645092612305727, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(926)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(931)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(950)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(956)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(958)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(962)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(975)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(982)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(985)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(995)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1006)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1012)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1020)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1042)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1053)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1054)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1069)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1075)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1112)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1119)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1124)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1136)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1139)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1184)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1189)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1198)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1209)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1222)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1223)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1224)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1235)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1258)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1263)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1276)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1291)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1299)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1302)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1349)), {C=0.0005322546306152864, S=0.00048633401420095323}
