(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(37)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(520)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(525)), {C=0.000909090909090909, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(536)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(542)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(592)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(636)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(639)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(643)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(677)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(688)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(711)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(742)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(766)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(795)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(819)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(827)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(842)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(882)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(897)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(942)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(958)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1046)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1069)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1110)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1120)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1124)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1128)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1145)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1153)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1198)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1204)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1209)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1241)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1302)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1320)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1389)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1401)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1413)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1425)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1433)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1434)), {C=0.000909090909090909, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1436)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1439)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1504)), {C=0.0006493506493506494, S=0.00048633401420095323}
