(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(29)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(548)), {C=0.0008167075020417687, S=0.0006808676198813345}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(554)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(604)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(616)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(620)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(683)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(710)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(712)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(775)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(794)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(799)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(818)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(847)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(855)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(859)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(882)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(885)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(891)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(900)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(920)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(928)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(930)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(947)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(957)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(986)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(997)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1037)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1039)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1044)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1050)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1057)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1087)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1158)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1187)), {C=0.0008167075020417687, S=0.0006808676198813345}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1193)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1200)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1201)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1206)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1250)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1274)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1276)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1284)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1291)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1297)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1325)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1330)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1343)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1378)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1396)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1440)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1441)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1452)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1487)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1538)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1539)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1545)), {C=0.0005833625014584063, S=0.00048633401420095323}
