(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(22)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(213)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(244)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(253)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(259)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(268)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(270)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(280)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(297)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(303)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(312)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(318)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(321)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(338)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(349)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(350)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(360)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(361)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(375)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(381)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(382)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(387)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(410)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(422)), {C=0.0010211896859841716, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(437)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(444)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(445)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(447)), {C=0.0010211896859841716, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(456)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(461)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(481)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(489)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(497)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(498)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(518)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(519)), {C=0.0010211896859841716, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(535)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(546)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(549)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(553)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(556)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(572)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(598)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(603)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(610)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(611)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(629)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(634)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(642)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(651)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(656)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(662)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(675)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(676)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(686)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(689)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(751)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(755)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(765)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(780)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(791)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(801)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(827)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(831)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(841)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(844)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(845)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(862)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(875)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(884)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(887)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(896)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(897)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(901)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(903)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(916)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(924)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(925)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(931)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(936)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(942)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(945)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(952)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(966)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(967)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(972)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(987)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(993)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1003)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1011)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1015)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1018)), {C=0.0011488383967321932, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1019)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1029)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1037)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1045)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1061)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1063)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1064)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1072)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1088)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1123)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1126)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1129)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1141)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1147)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1150)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1161)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1173)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1209)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1212)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1222)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1240)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1245)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1249)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1266)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1268)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1298)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1304)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1322)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1349)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1350)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1355)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1368)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1373)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1380)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1389)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1392)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1396)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1407)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1411)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1415)), {C=0.0011488383967321932, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1417)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1423)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1451)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1452)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1462)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1465)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1497)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1504)), {C=0.0008935409752361502, S=0.0006808676198813345}
