(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(30)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(260)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(278)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(283)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(292)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(311)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(313)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(317)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(321)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(338)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(342)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(348)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(357)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(370)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(389)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(400)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(427)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(448)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(454)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(455)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(463)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(490)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(492)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(494)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(495)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(502)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(516)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(531)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(537)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(545)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(550)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(567)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(569)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(579)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(589)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(597)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(598)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(609)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(612)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(614)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(615)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(622)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(628)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(638)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(652)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(655)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(660)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(671)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(676)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(692)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(698)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(748)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(751)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(765)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(769)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(784)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(789)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(835)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(844)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(851)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(873)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(887)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(892)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(898)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(899)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(902)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(906)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(926)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(953)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(958)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(964)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(965)), {C=0.0010381820279155613, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(970)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(980)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(983)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(987)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(989)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(996)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1005)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1012)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1015)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1016)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1025)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1028)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1032)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1034)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1041)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1066)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1079)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1103)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1111)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1120)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1124)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1128)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1135)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1156)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1164)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1171)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1194)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1198)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1210)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1212)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1213)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1216)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1219)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1232)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1242)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1257)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1263)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1266)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1275)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1276)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1287)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1290)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1321)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1340)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1343)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1361)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1362)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1373)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1386)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1388)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1398)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1405)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1411)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1413)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1416)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1417)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1418)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1426)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1441)), {C=0.0009228284692582767, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1468)), {C=0.0008074749106009919, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1470)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1471)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1473)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1477)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1478)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1479)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1483)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1489)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1504)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1536)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1538)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1553)), {C=0.0006921213519437074, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1554)), {C=0.0005767677932864229, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1558)), {C=0.0005767677932864229, S=0.00048633401420095323}
