(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(11)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(62)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(66)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(70)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(75)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(76)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(77)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(81)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(82)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(83)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(88)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(89)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(96)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(104)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(113)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(124)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(126)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(127)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(132)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(133)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(146)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(148)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(152)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(153)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(158)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(162)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(166)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(173)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(179)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(184)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(187)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(188)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(194)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(195)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(196)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(199)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(203)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(206)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(216)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(220)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(222)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(226)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(227)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(233)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(243)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(244)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(246)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(250)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(255)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(256)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(260)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(262)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(269)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(272)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(275)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(277)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(281)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(283)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(284)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(288)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(295)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(299)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(302)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(304)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(305)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(308)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(316)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(318)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(326)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(328)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(331)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(332)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(335)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(338)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(340)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(343)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(348)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(350)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(352)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(358)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(359)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(360)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(362)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(366)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(368)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(370)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(376)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(378)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(379)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(380)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(381)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(382)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(383)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(385)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(390)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(393)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(398)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(403)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(404)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(406)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(408)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(411)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(414)), {C=0.0010323113451016826, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(416)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(417)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(419)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(421)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(423)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(427)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(428)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(430)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(431)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(433)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(436)), {C=0.0010323113451016826, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(437)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(438)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(441)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(442)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(444)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(446)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(447)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(448)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(449)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(451)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(452)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(453)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(455)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(456)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(460)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(463)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(467)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(468)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(470)), {C=0.0010323113451016826, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(471)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(475)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(477)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(479)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(480)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(485)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(486)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(488)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(492)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(493)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(494)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(503)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(507)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(508)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(513)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(514)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(516)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(519)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(521)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(525)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(526)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(528)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(529)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(535)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(536)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(541)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(546)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(548)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(549)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(553)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(563)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(564)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(565)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(566)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(570)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(573)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(575)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(578)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(587)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(589)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(591)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(593)), {C=0.0006193868070610096, S=0.0005836008170411438}
