(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(2)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(85)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(86)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(88)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(89)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(90)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(93)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(94)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(96)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(98)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(100)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(102)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(107)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(108)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(109)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(112)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(114)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(115)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(116)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(119)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(120)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(121)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(124)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(126)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(128)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(130)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(131)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(132)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(133)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(135)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(137)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(138)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(139)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(145)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(147)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(148)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(149)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(152)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(153)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(155)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(158)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(160)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(163)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(164)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(165)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(172)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(175)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(178)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(180)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(181)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(183)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(185)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(188)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(189)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(190)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(194)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(195)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(196)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(198)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(199)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(201)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(204)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(205)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(207)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(210)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(212)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(213)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(218)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(220)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(222)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(223)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(225)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(227)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(228)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(229)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(231)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(233)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(237)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(238)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(243)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(244)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(245)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(246)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(248)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(249)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(250)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(251)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(253)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(254)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(255)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(256)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(257)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(258)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(259)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(261)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(262)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(265)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(266)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(268)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(270)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(274)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(275)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(277)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(278)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(279)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(281)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(285)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(286)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(287)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(288)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(289)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(291)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(293)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(295)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(297)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(298)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(301)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(302)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(306)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.001415285078851597, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(310)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(312)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(313)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(315)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(318)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(320)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(323)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(327)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(328)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(329)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(331)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(332)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(333)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(334)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(335)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(336)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(338)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(339)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(344)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(345)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(349)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(351)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(353)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(354)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(356)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(357)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(359)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(360)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(361)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(364)), {C=0.0005054589567327133, S=0.00048633401420095323}
