(gender(Female)) --> (buy(1)), {C=0.00274671375318815, S=0.001361735239762669}
(gender(Female)) --> (buy(47)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(48)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(49)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(50)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(51)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(52)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(53)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(54)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(55)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(56)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(57)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(58)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(59)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(60)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(61)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(62)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(63)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(64)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(65)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(66)), {C=0.008240141259564451, S=0.004085205719288007}
(gender(Female)) --> (buy(67)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(68)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(69)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(70)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(71)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(72)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(73)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(74)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(75)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(76)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(77)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(78)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(79)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(80)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(81)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(82)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(83)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(84)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(85)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(86)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(87)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(88)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(89)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(90)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(91)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(92)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(93)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(94)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(95)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(96)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(97)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(98)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(99)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(100)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(101)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(102)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(103)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(104)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(105)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(106)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(107)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(108)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(109)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(110)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(111)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(112)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(113)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(114)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(115)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(116)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(117)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(118)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(119)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(120)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(121)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(122)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(123)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(124)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(125)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(126)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(127)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(128)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(129)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(130)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(131)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(132)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(133)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(134)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(135)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(136)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(137)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(138)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(139)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(140)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(141)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(142)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(143)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(144)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(145)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(146)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(147)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(148)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(149)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(150)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(151)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(152)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(153)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(154)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(155)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(156)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(157)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(158)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(159)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(160)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(161)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(162)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(163)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(164)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(165)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(166)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(167)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(168)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(169)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(170)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(171)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(172)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(173)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(174)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(175)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(176)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(177)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(178)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(179)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(180)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(181)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(182)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(183)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(184)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(185)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(186)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(187)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(188)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(189)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(190)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(191)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(192)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(193)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(194)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(195)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(196)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(197)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(198)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(199)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(200)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(201)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(202)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(203)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(204)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(205)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(206)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(207)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(208)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(209)), {C=0.00274671375318815, S=0.001361735239762669}
(gender(Female)) --> (buy(210)), {C=0.0025505199136747108, S=0.0012644684369224784}
(gender(Female)) --> (buy(211)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(212)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(213)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(214)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(215)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(216)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(217)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(218)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(219)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(220)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(221)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(222)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(223)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(224)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(225)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(226)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(227)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(228)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(229)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(230)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(231)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(232)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(233)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(234)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(235)), {C=0.00274671375318815, S=0.001361735239762669}
(gender(Female)) --> (buy(236)), {C=0.00274671375318815, S=0.001361735239762669}
(gender(Female)) --> (buy(237)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(238)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(239)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(240)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(241)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(242)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(243)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(244)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(245)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(246)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(247)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(248)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(249)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(250)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(251)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(252)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(253)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(254)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(255)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(256)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(257)), {C=0.002158132234647832, S=0.001069934831242097}
(gender(Female)) --> (buy(258)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(259)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(260)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(261)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(262)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(263)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(264)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(265)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(266)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(267)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(268)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(269)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(270)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(271)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(272)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(273)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(274)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(275)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(276)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(277)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(278)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(279)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(280)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(281)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(282)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(283)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(284)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(285)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(286)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(287)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(288)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(289)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(290)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(291)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(292)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(293)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(294)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(295)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(296)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(297)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(298)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(299)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(300)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(301)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(302)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(303)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(304)), {C=0.007847753580537572, S=0.003890672113607626}
(gender(Female)) --> (buy(305)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(306)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(307)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(308)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(309)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(310)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(311)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(312)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(313)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(314)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(315)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(316)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(317)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(318)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(319)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(320)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(321)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(322)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(323)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(324)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(325)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(326)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(327)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(328)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(329)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(330)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(331)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(332)), {C=0.0051010398273494215, S=0.0025289368738449568}
