(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(7)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(348)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(351)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(352)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(353)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(357)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(358)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(370)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(385)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(388)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(389)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(391)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(396)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(401)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(403)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(406)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(410)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(415)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(416)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(418)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(421)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(423)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(426)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(427)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(438)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(440)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(444)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(446)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(463)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(467)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(468)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(472)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(473)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(475)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(476)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(482)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(490)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(492)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(494)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(495)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(496)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(501)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(502)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(506)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(510)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(520)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(525)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(526)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(529)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(531)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(536)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(539)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(541)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(542)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(545)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(546)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(550)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(553)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(555)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(565)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(567)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(569)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(576)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(579)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(581)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(586)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(589)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(593)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(598)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(599)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(609)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(612)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(614)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(622)), {C=0.001088665779605661, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(623)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(629)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(632)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(636)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(637)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(638)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(639)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(643)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(645)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(660)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(671)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(677)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(683)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(688)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(692)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(702)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(711)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(723)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(728)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(729)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(738)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(740)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(743)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(748)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(751)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(755)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(765)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(769)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(784)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(786)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(788)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(789)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(797)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(814)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(823)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(830)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(834)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(835)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(841)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(842)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(844)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(851)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(860)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(866)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(868)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(873)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(882)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(884)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(892)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(893)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(897)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(898)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(899)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(900)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(905)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(906)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(909)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(910)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(926)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(931)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(936)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(938)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(942)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(944)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(948)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(953)), {C=0.000725777186403774, S=0.0005836008170411438}
