(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0007349081364829396, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(963)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1356)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1389)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1406)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1417)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0007349081364829396, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1447)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1452)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0007349081364829396, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(358)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(500)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(535)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(570)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(572)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(682)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(782)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(805)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(848)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(957)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(963)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1356)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1389)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1406)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1417)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0007349081364829396, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1447)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1452)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0007349081364829396, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(358)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(500)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(535)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(570)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(572)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(682)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(782)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(805)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(848)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(957)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(963)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1356)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1389)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1406)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1417)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0007349081364829396, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1447)), {C=0.0005249343832020997, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1452)), {C=0.0006299212598425197, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0005249343832020997, S=0.00048633401420095323}
