(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(9)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(562)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(565)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(568)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(570)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(580)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(595)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(610)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(613)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(623)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(639)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(648)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(664)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(671)), {C=0.0008278145695364238, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(687)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(746)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(750)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(765)), {C=0.0008278145695364238, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(769)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(804)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(849)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(904)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(909)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(914)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(924)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(959)), {C=0.0009460737937559131, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(962)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(964)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(975)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1003)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1013)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1054)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1077)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1105)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1126)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1192)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1199)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1249)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1282)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1297)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1314)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1325)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1329)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1383)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1393)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1420)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1429)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1458)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1487)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1488)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1490)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1496)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1527)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1546)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(1550)), {C=0.0005912961210974457, S=0.00048633401420095323}
