(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(32)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(800)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(804)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(815)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(838)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(840)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(854)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(873)), {C=0.0007360672975814931, S=0.0006808676198813345}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(882)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(903)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(904)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(914)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(938)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(941)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(945)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(952)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(960)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(979)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(980)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(986)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1002)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1014)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1028)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1041)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1053)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1097)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1100)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1106)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1118)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1145)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1150)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1153)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1173)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1176)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1197)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1204)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1256)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1275)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1283)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1300)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1305)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1334)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1368)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1382)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1393)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1397)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1409)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1412)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1424)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1449)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1473)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1479)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1483)), {C=0.0007360672975814931, S=0.0006808676198813345}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(1546)), {C=0.0005257623554153522, S=0.00048633401420095323}
