(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(144)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(148)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(151)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(153)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(158)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(164)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(165)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(167)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(168)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(180)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(183)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(185)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(190)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(201)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(202)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(220)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(234)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(258)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(259)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(262)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(264)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(271)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(279)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(295)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(302)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(306)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(310)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(312)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(332)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(341)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(347)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(351)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(356)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(361)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(366)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(373)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(378)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(379)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(380)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(381)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(384)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(386)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(389)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(394)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(396)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(400)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(410)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(414)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(417)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(421)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(425)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(428)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(433)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(438)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(439)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(440)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(441)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(455)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(456)), {C=0.0009002700810243074, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(462)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(463)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(464)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(471)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(479)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(480)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(490)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(497)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(501)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(503)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(522)), {C=0.0009002700810243074, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(523)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(524)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(526)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(527)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(533)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(535)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(543)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(544)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(545)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(549)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(550)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(555)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(559)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(560)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(562)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(563)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(568)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(569)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(572)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(574)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(588)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(590)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(594)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(602)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(615)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(618)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(625)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(634)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(644)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(647)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(654)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(657)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(658)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(659)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(661)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(663)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(668)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(683)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(689)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(691)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(697)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(705)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(707)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(723)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(724)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(740)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(750)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(751)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(766)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(767)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(768)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(771)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(773)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(777)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(788)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(791)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(794)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(807)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(813)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(817)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(820)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(837)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(839)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(844)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(849)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(850)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(851)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(854)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(855)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(856)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(862)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(865)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(866)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(882)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(884)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(885)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(888)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(895)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(900)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(902)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(905)), {C=0.001100330099029709, S=0.001069934831242097}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(909)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(917)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(921)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(922)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(923)), {C=0.0005001500450135041, S=0.00048633401420095323}
