(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(103)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(112)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(126)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(127)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(131)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(136)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(137)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(138)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(145)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(154)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(180)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(195)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(199)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(200)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(210)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(212)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(226)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(227)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(239)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(249)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(254)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(261)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(283)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(287)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(289)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(301)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(304)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(322)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(325)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(334)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(337)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(342)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(363)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(370)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(375)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(384)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(400)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(404)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(411)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(413)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(420)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(423)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(426)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(437)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(443)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(455)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(456)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(473)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(480)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(486)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(495)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(506)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(518)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(528)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(534)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(536)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(539)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(540)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(542)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(547)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(550)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(553)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(567)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(575)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(587)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(590)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(591)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(592)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(593)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(596)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(606)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(623)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(638)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(645)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(647)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(658)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(668)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(672)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(673)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(681)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(682)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(689)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(691)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(710)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(720)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(722)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(737)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(746)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(755)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(757)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(766)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(770)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(773)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(774)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(778)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(782)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(786)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(799)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(805)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(807)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(809)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(813)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(814)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(816)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(837)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(846)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(847)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(854)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(859)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(863)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(865)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(870)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(875)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(882)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(888)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(892)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(909)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(912)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(913)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(948)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(953)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(961)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(966)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(967)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(971)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(976)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(978)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(986)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(992)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(994)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(996)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1006)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1013)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1015)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1018)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1019)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1023)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1036)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1049)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1057)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1068)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1085)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1122)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1129)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1142)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1145)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1146)), {C=0.0009191176470588236, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1158)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1162)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1163)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1169)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1182)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1185)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1199)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1200)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1204)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1205)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1206)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1213)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1227)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1228)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1232)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1236)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1256)), {C=0.0006127450980392157, S=0.0005836008170411438}
