(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(7)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(135)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(136)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(145)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(151)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(153)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(156)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(157)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(159)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(162)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(174)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(176)), {C=0.00099601593625498, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(183)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(184)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(200)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(211)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(217)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(219)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(220)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(223)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(226)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(228)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(244)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(253)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(258)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(262)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(271)), {C=0.00099601593625498, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(272)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(286)), {C=0.0011066843736166445, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(288)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(289)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(292)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(294)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(296)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(304)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(312)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(323)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(334)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(348)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(350)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(351)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(352)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(358)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(362)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(369)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(370)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(371)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(372)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(380)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(382)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(384)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(385)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(391)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(394)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(399)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0011066843736166445, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(410)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(415)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(417)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(427)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(432)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(433)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(438)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(439)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(440)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(441)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(443)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(468)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(472)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(475)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(476)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(482)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(502)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(505)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(510)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(520)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(524)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(525)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(530)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(536)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(544)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(549)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(552)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(553)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(555)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(561)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(565)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(574)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(587)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(588)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(591)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(592)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(594)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(603)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(605)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(609)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(614)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(615)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(617)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(622)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(631)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(636)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(639)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(640)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(641)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(643)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(677)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(689)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(692)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(696)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(707)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(709)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(716)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(788)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(791)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(795)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(797)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(800)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(803)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(814)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(819)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(823)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(827)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(830)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(832)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(834)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(840)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(842)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(843)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(850)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(869)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(871)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(873)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(879)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(882)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(886)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(888)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(893)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(897)), {C=0.0011066843736166445, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(910)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(918)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(933)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(938)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(941)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(942)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(943)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(947)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(948)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(952)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(956)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(958)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(959)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(968)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(971)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(975)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(985)), {C=0.0006640106241699867, S=0.0005836008170411438}
