(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(6)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(228)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(244)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(249)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(261)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(266)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(270)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(287)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(301)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(307)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(308)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(310)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(323)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(336)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(337)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(341)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(346)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(347)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(348)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(353)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(365)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(370)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(374)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(390)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(396)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(404)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(412)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(426)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(432)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(433)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(445)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(451)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(462)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(463)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(464)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(473)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(477)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(481)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(486)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(492)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(493)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(533)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(544)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(546)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(566)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(587)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(588)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(590)), {C=0.0010633270321361058, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(593)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(596)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(605)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(634)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(645)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(657)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(703)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(707)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(725)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(749)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(755)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(761)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(768)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(774)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(788)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(789)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(790)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(797)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(813)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(827)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(829)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(831)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(834)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(841)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(848)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(866)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(881)), {C=0.0011814744801512287, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(888)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(891)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(896)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(897)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(898)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(899)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(901)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(909)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(914)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(931)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(934)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(935)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(936)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(943)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(956)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(966)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(977)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(991)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1006)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1012)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1014)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1018)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1019)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1029)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1045)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1049)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1055)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1061)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1067)), {C=0.000945179584120983, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1091)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1121)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1129)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1146)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1158)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1162)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1169)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1177)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1185)), {C=0.000945179584120983, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1196)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1205)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1209)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1212)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1219)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1220)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1228)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1231)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1246)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1254)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1262)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1266)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1267)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1278)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1298)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1300)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1308)), {C=0.000945179584120983, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1311)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1321)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1322)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1346)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1355)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1368)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1395)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1396)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1411)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1424)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1438)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1441)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1443)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1450)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1456)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1459)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1462)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1483)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1492)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1506)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1508)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1509)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1520)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1521)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1528)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1530)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1539)), {C=0.0007088846880907372, S=0.0005836008170411438}
