(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(539)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(549)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(575)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(599)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(624)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(634)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(668)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(679)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(692)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(717)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(726)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(730)), {C=0.0006942378260438361, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(759)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(785)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(884)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(894)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(902)), {C=0.0006942378260438361, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(905)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(913)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(921)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(926)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(936)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(937)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(944)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(968)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(994)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(995)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1001)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1020)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1031)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1041)), {C=0.0006942378260438361, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1136)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1148)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1159)), {C=0.0006942378260438361, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1165)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1181)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1182)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1198)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1210)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1233)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1247)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1275)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1303)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1314)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1326)), {C=0.0006942378260438361, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1327)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1335)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1338)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1356)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1363)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1387)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1394)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1398)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1410)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1414)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1448)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1503)), {C=0.0005950609937518595, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1519)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1533)), {C=0.0006942378260438361, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1555)), {C=0.0004958841614598829, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1557)), {C=0.0004958841614598829, S=0.00048633401420095323}
