(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(70)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(436)), {C=0.0006993006993006992, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(442)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(488)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(529)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(564)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(573)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(635)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(651)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(696)), {C=0.0005994005994005993, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(718)), {C=0.0005994005994005993, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(728)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(812)), {C=0.0005994005994005993, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0006993006993006992, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(873)), {C=0.0005994005994005993, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(883)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(892)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(903)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(952)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1002)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1123)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1165)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1217)), {C=0.0006993006993006992, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1218)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1219)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1221)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1262)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1308)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1312)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1339)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1366)), {C=0.0005994005994005993, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1420)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1468)), {C=0.0006993006993006992, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1469)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1506)), {C=0.0005994005994005993, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1533)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1535)), {C=0.0004995004995004995, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1548)), {C=0.0004995004995004995, S=0.00048633401420095323}
