(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(21)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(297)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(364)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(420)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(466)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(471)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(477)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(520)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(527)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(559)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(567)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(576)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(577)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(582)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(600)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(610)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(611)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(623)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(648)), {C=0.0007262164124909222, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(671)), {C=0.0007262164124909222, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(698)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(743)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(750)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(765)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(769)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(779)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(804)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(808)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(837)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(849)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(884)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(914)), {C=0.0007262164124909222, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(939)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(959)), {C=0.0007262164124909222, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(975)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(984)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1003)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1192)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1199)), {C=0.0007262164124909222, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1220)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1249)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1297)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1313)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1335)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1393)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1409)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1420)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1480)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1490)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1496)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1546)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(1548)), {C=0.0005187260089220874, S=0.00048633401420095323}
