(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(17)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(415)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(419)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(438)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(442)), {C=0.0007953076846605031, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(443)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(446)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(466)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(470)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(477)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(478)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(481)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(482)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(488)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(498)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(505)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(520)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(527)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(528)), {C=0.000894721145243066, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(530)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(532)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(543)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(560)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(568)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(587)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(591)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(595)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(604)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(610)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(611)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(640)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(641)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(648)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(660)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(670)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(671)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(677)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(691)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(693)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(696)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(714)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(767)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(778)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(779)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(815)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(837)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(842)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(869)), {C=0.0007953076846605031, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(876)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(883)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(885)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(891)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(895)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(897)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(917)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(924)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(931)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(938)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(945)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(948)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(960)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(970)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(984)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(991)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1023)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1088)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1092)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1124)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1126)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1130)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1145)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1147)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1166)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1171)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1172)), {C=0.000894721145243066, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1176)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1192)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1232)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1261)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1273)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1335)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1342)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1359)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1368)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1377)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1379)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1409)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1418)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1434)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1435)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1441)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1446)), {C=0.0009941346058256288, S=0.0009726680284019065}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1453)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1471)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1472)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1480)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1484)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1485)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1509)), {C=0.0007953076846605031, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1513)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1536)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1547)), {C=0.0004970673029128144, S=0.00048633401420095323}
