(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(126)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(138)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(147)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(156)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(168)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(185)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(194)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(228)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(255)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(290)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(304)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(307)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(325)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(334)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(340)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(399)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(411)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(415)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(428)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(432)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(469)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(474)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(495)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(528)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(549)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(553)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(570)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(596)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(663)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(714)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(746)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(761)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0009989012086704626, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(833)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(851)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(866)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(889)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(893)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(920)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(928)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(961)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(987)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(988)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(999)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1012)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1055)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1057)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1061)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1117)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1123)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1146)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1149)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1158)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1162)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1169)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1215)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1239)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1243)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1270)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1283)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1287)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1291)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1298)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1329)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1338)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1353)), {C=0.00079912096693637, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1373)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1388)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1393)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1405)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1408)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1421)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1427)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1437)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1439)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1460)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1462)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1463)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1478)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1491)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1495)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1506)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1514)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1521)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1543)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1549)), {C=0.0004994506043352313, S=0.00048633401420095323}
