(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(15)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(640)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(641)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(648)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(650)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(658)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(689)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(692)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(778)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(779)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(782)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(791)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(830)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(832)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(863)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(869)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(886)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(893)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(897)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(930)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(931)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(937)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(947)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(952)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(976)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(981)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1019)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1020)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1044)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1047)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1120)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1121)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1125)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1133)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1136)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1154)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1161)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1166)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1222)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1235)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1239)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1256)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1258)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1261)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1270)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1273)), {C=0.0008020854220974535, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1287)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1291)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1311)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1335)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1350)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1403)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1407)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1409)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1411)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1433)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1446)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1454)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1456)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1500)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1503)), {C=0.0009023460998596352, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1547)), {C=0.0005013033888109084, S=0.00048633401420095323}
