(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(461)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(489)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(518)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0008233841086867024, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(546)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(549)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(553)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(603)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(629)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(634)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(642)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(656)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(676)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(686)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(751)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(780)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(827)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(831)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(875)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(884)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(896)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(897)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(925)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(931)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(945)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(972)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(993)), {C=0.0007204610951008645, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1018)), {C=0.0009263071222725402, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1045)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1129)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1141)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1161)), {C=0.0007204610951008645, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1173)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1222)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1240)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1298)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1349)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1373)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1380)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1392)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1396)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1411)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1415)), {C=0.0007204610951008645, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1417)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1452)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1497)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(1504)), {C=0.0005146150679291889, S=0.00048633401420095323}
