(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(7)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(211)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(216)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(222)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(227)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(231)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(233)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(241)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(245)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(248)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(250)), {C=0.0009173376821934564, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(252)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(257)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(262)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(266)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(267)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(268)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(271)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(275)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(277)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(278)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(280)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(282)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(288)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(290)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(294)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(302)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(305)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(308)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(310)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(317)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(323)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(326)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(331)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(339)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(341)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(349)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(355)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(364)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(378)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(387)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(394)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(397)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(399)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(400)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(402)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(403)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(411)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(414)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(415)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(418)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(427)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(430)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(432)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(438)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(441)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(442)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(443)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(444)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(448)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(455)), {C=0.0009173376821934564, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(461)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(463)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(465)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(466)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(467)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(469)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(473)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(482)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(484)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(488)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(505)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(506)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(507)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(525)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(527)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(529)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(530)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(532)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(541)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(544)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(554)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(558)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(572)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(573)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(575)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(580)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(582)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(593)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(599)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(600)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(601)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(608)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(618)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(620)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(632)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(635)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(636)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(638)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(644)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(651)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(677)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(682)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(684)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(685)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(686)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(691)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(696)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(725)), {C=0.0011211905004586689, S=0.001069934831242097}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(733)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(739)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(745)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(746)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(748)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(749)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(752)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(756)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(760)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(772)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(778)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(784)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(788)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(791)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(800)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(801)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(805)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(806)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(812)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(814)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(816)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(819)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(822)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(823)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(825)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(838)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(842)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(844)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(845)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(849)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(852)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(856)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(861)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(863)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(865)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(871)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(883)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(892)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(895)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(896)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(898)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(905)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(909)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(911)), {C=0.0009173376821934564, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(912)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(914)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(916)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(920)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(925)), {C=0.0005096320456630313, S=0.00048633401420095323}
