(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0005953562214725143, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(980)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1022)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1074)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1179)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1218)), {C=0.0005953562214725143, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1262)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1312)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1316)), {C=0.0005953562214725143, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1394)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0006945822583846001, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1469)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1506)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1548)), {C=0.0005953562214725143, S=0.0005836008170411438}
