(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(506)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(511)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(513)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(514)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(515)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(522)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(525)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(528)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(529)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(533)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(534)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(536)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(540)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(547)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(549)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(553)), {C=0.0010058113544926242, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(575)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(581)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(582)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(583)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(584)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(585)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(588)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(590)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(592)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0013410818059901653, S=0.0011672016340822876}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(596)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(606)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(613)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(620)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(622)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(626)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(628)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(629)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(645)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(660)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(663)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(682)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(688)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(690)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(692)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(710)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(711)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(719)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(738)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(740)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(745)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(746)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(755)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(760)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(761)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(768)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(780)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(782)), {C=0.0011175681716584713, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(786)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(790)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(797)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(799)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(813)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(816)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(817)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(826)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(827)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(828)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(829)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(832)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(835)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(836)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(838)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(841)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(843)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(844)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(846)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(848)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(851)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(854)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(855)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(858)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(870)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(872)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(873)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(881)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(888)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(893)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(896)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(901)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(902)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(908)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(909)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(911)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(913)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(914)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(915)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(916)), {C=0.0005587840858292356, S=0.00048633401420095323}
