(gender(Female))(yearly_salary($70K - $90K)) --> (buy(3)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(127)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(130)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(137)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(148)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(151)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(161)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(162)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(165)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(169)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(181)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(182)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(189)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(197)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(204)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(211)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(214)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(216)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(218)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(219)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(222)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(226)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(230)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(247)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(250)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(254)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(256)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(258)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(261)), {C=0.0017587055926837848, S=0.0009726680284019065}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(262)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(263)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(264)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(265)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(269)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(273)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(274)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(276)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(278)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(297)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(305)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(313)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(325)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(336)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(337)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(344)), {C=0.0017587055926837848, S=0.0009726680284019065}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(345)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(350)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(359)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(360)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(361)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(364)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(365)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(382)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(386)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(387)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(388)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(391)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(392)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(401)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(402)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(403)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(407)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(408)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(413)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(415)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(420)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(421)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(422)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(423)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(425)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(426)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(427)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(431)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(440)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(445)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(446)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(447)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(454)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(455)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(463)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(466)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(467)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(468)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(469)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(470)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(471)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(476)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(477)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(479)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(482)), {C=0.0017587055926837848, S=0.0009726680284019065}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(484)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(485)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(487)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(490)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(492)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(498)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(502)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(503)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(506)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(507)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(508)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(511)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(515)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(519)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(520)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(522)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(523)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(525)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(526)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(527)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(536)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(542)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(546)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(550)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(553)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(554)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(559)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(560)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(562)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(565)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(567)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(568)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(570)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(576)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(577)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(580)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(582)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(586)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(590)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(592)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(595)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(600)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(603)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(604)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(606)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(607)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(610)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(611)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(613)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(618)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(620)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(623)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(636)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(639)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(641)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(644)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(648)), {C=0.0019345761519521632, S=0.001069934831242097}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(664)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(669)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(671)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(674)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(679)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(687)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(690)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(692)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(698)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(705)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(737)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(743)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(746)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(748)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(750)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(751)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(756)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(758)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(760)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(763)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(765)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(769)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(773)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(778)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(779)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(782)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(783)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(791)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(797)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(800)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(802)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(804)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(808)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(813)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(815)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(827)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(830)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(832)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(837)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(839)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(848)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(849)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(854)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(863)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(866)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(869)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(873)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(877)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(882)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(884)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(886)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(887)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(892)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(901)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(903)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(904)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(907)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(909)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(914)), {C=0.0019345761519521632, S=0.001069934831242097}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(919)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(923)), {C=0.0012310939148786491, S=0.0006808676198813345}
