(gender(Male))(yearly_salary($50K - $70K)) --> (buy(6)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(83)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(84)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(86)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(87)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(88)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(89)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(91)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(92)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(95)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(96)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(97)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(100)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(101)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(103)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(104)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(107)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(111)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(112)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(113)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(114)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(115)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(116)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(118)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(123)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(124)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(126)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(130)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(132)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(133)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(135)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(140)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(145)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(146)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(147)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(149)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(151)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(154)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(156)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(157)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(159)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(160)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(161)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(162)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(163)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(164)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(165)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(166)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(167)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(168)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(172)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(176)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(179)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(180)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(183)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(184)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(186)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(190)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(191)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(195)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(196)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(197)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(198)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(200)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(201)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(206)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(211)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(217)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(218)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(219)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(220)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(223)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(225)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(228)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(229)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(231)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(236)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(244)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(245)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(249)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(250)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(251)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(252)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(253)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(255)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(257)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(260)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(267)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(270)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(271)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(278)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(283)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(285)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(286)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(288)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(289)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(292)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(295)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(296)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(300)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(302)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(304)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(306)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(308)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(309)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(310)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(311)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(312)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(313)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(315)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(317)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(318)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(319)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(321)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(322)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(323)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(329)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(330)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(336)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(338)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(340)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(342)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(344)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(345)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(347)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(348)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(349)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(351)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(352)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(353)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(356)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(357)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(358)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(362)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(363)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(369)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(370)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(376)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(377)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(378)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(385)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(388)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(389)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(391)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(392)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(394)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(396)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(399)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(400)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(401)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(403)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(404)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(405)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(406)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(407)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(408)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(410)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(415)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(416)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(418)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(421)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(423)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(426)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(427)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(428)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(429)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(432)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(434)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(435)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(436)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(437)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(438)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(439)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(440)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(441)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(444)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(445)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(446)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(448)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(450)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(451)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(452)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(454)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(455)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(456)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(457)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(459)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(460)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(461)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(463)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(466)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(467)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(468)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(469)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(472)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(473)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(475)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(476)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(482)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(483)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(486)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(490)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(492)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(494)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(495)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(496)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(498)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(500)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(501)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(502)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(506)), {C=0.0009855453350854138, S=0.0005836008170411438}
