(gender(Male))(yearly_salary($10K - $30K)) --> (buy(4)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(31)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(32)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(33)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(34)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(36)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(37)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(39)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(42)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(43)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(45)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(46)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(47)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(48)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(49)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(50)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(51)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(52)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(53)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(54)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(55)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(57)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(58)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(59)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(60)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(61)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(63)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(64)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(65)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(66)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(68)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(69)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(70)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(71)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(72)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(74)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(75)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(76)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(77)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(78)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(79)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(80)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(82)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(84)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(86)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(87)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(88)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(89)), {C=0.0017479739392976322, S=0.001069934831242097}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(90)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(91)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(92)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(93)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(94)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(95)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(96)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(98)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(99)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(100)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(102)), {C=0.0017479739392976322, S=0.001069934831242097}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(103)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(104)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(106)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(107)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(109)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(111)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(112)), {C=0.0019068806610519622, S=0.0011672016340822876}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(114)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(115)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(116)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(117)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(118)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(119)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(121)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(122)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(126)), {C=0.0017479739392976322, S=0.001069934831242097}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(127)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(128)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(131)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(132)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(133)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(136)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(137)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(138)), {C=0.0019068806610519622, S=0.0011672016340822876}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(139)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(141)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(142)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(143)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(145)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(146)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(147)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(148)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(150)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(153)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(154)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(155)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(156)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(157)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(160)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(161)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(162)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(163)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(164)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(168)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(171)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(173)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(174)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(175)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(177)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(178)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(180)), {C=0.0019068806610519622, S=0.0011672016340822876}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(182)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(183)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(184)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(185)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(187)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(189)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(190)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(192)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(193)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(194)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(195)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(196)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(197)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(198)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(199)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(200)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(201)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(202)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(204)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(205)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(206)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(207)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(208)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(210)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(211)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(212)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(213)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(214)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(215)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(216)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(217)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(219)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(222)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(223)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(224)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(226)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(227)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(228)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(231)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(232)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(233)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(235)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(238)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(239)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(242)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(243)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(245)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(248)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(249)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(251)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(253)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(254)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(255)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(256)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(258)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(260)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(261)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(263)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(264)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(265)), {C=0.0019068806610519622, S=0.0011672016340822876}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(266)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(267)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(269)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(270)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(271)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(272)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(274)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(275)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(276)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(279)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(281)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(283)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(284)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(287)), {C=0.0017479739392976322, S=0.001069934831242097}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(288)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(289)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(292)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(293)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(295)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(296)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(297)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(298)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(299)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(300)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(301)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(304)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(305)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(306)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(307)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(308)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(309)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(311)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(312)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(313)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(314)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(316)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(318)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(319)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(320)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(321)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(322)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(324)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(325)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(326)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(327)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(328)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(329)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(331)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(333)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(334)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(336)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(337)), {C=0.0022246941045606225, S=0.001361735239762669}
