(gender(Female))(yearly_salary($10K - $30K)) --> (buy(2)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(57)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(61)), {C=0.0020933977455716585, S=0.0012644684369224784}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(64)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(65)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(66)), {C=0.0019323671497584538, S=0.0011672016340822876}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(67)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(68)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(69)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(70)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(71)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(73)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(74)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(75)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(79)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(80)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(82)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(83)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(84)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(85)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(86)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(89)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(90)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(93)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(95)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(96)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(97)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(98)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(100)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(105)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(106)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(110)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(112)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(113)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(114)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(116)), {C=0.0017713365539452496, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(117)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(118)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(119)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(120)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(122)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(125)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(126)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(128)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(129)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(131)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(132)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(133)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(137)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(138)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(139)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(140)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(143)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(144)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(147)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(150)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(153)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(154)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(156)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(157)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(158)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(160)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(161)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(163)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(164)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(168)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(169)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(170)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(171)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(172)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(174)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(175)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(178)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(179)), {C=0.0019323671497584538, S=0.0011672016340822876}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(180)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(182)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(183)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(184)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(185)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(187)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(188)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(190)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(191)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(192)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(193)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(194)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(195)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(201)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(202)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(203)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(204)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(206)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(207)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(208)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(209)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(211)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(212)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(213)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(214)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(216)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(217)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(218)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(220)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(222)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(224)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(225)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(226)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(227)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(228)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(230)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(233)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(234)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(237)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(240)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(241)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(244)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(245)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(249)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(250)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(252)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(253)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(255)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(256)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(259)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(261)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(263)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(264)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(266)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(267)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(268)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(270)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(271)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(272)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(273)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(276)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(277)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(280)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(281)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(282)), {C=0.0017713365539452496, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(284)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(286)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(287)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(289)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(290)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(291)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(292)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(293)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(294)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(295)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(297)), {C=0.0017713365539452496, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(299)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(301)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(302)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(303)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(304)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(307)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(309)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(310)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(311)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(312)), {C=0.0017713365539452496, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(315)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(316)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(317)), {C=0.0020933977455716585, S=0.0012644684369224784}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(318)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(319)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(320)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(321)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(322)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(323)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(324)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(326)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(327)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(328)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(329)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(330)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(331)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(332)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(333)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(334)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(335)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(336)), {C=0.0017713365539452496, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(337)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(338)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(341)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(342)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(343)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(347)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(349)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(350)), {C=0.001610305958132045, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(351)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(353)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(355)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(356)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(357)), {C=0.0009661835748792269, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(358)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(360)), {C=0.0019323671497584538, S=0.0011672016340822876}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(361)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(363)), {C=0.0014492753623188406, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(364)), {C=0.0012882447665056361, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(365)), {C=0.0011272141706924314, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(366)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(367)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(368)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(369)), {C=0.0008051529790660225, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K)) --> (buy(372)), {C=0.0009661835748792269, S=0.0005836008170411438}
