(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(29)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(389)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(400)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(404)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(440)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(444)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(451)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(455)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(463)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(486)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(492)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(494)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(495)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(502)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(515)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(516)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(525)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(529)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(531)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(550)), {C=0.0008541793776693105, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(566)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(567)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(595)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(609)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(622)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(628)), {C=0.0008541793776693105, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(688)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(698)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(704)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(734)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(748)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(765)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(784)), {C=0.0008541793776693105, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(792)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(798)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(823)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(866)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(898)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(899)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(906)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(926)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(936)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(953)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(958)), {C=0.0008541793776693105, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(965)), {C=0.0008541793776693105, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(970)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(980)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(983)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(989)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1005)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1016)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1019)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1037)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1041)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1079)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1103)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1124)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1127)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1225)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1237)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1241)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1263)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1266)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1275)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1276)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1284)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1290)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1361)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1374)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1385)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1388)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1398)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1413)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1417)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1425)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1426)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1441)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1453)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1470)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1471)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1477)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1504)), {C=0.0009762050030506407, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1505)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1536)), {C=0.0007321537522879804, S=0.0005836008170411438}
