(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(2)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(50)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(52)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(56)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(59)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(62)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(63)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(64)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(65)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(67)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(68)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(69)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(70)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(75)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(76)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(78)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(81)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(84)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(86)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(88)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(90)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(93)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(95)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(96)), {C=0.0012941176470588236, S=0.001069934831242097}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(98)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(104)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(106)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(108)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(111)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(112)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(113)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(115)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(120)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(121)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(122)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(126)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(127)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(128)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(131)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(132)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(135)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(136)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(137)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(138)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(139)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(140)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(144)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(145)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(146)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(148)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(150)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(152)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(153)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(156)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(158)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(160)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(164)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(165)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(167)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(168)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(172)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(177)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(180)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(181)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(185)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(189)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(190)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(192)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(194)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(195)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(199)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(202)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(205)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(206)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(212)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(220)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(222)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(226)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(231)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(233)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(234)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(238)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(240)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(248)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(251)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(252)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(254)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(255)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(259)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(262)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(264)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(266)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(268)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(271)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(274)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(275)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(277)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(278)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(279)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(285)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(288)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(289)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(292)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(293)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(295)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(298)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(299)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(300)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(301)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(302)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(304)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(306)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(307)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(308)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(310)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(312)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(313)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(314)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(315)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(318)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(320)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(321)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(322)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(328)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(329)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(331)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(333)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(338)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(339)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(341)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(343)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(344)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(347)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(349)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(350)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(351)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(353)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(354)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(356)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(359)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(360)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(361)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(362)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(366)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(368)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(370)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(371)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(372)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(373)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(375)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(378)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(379)), {C=0.0012941176470588236, S=0.001069934831242097}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(380)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(381)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(383)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(384)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(386)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(387)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(391)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(394)), {C=0.0012941176470588236, S=0.001069934831242097}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(395)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(396)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(397)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(398)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(399)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(400)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(401)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(402)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(404)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(405)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(406)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(407)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(410)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(412)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(413)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(414)), {C=0.0012941176470588236, S=0.001069934831242097}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(416)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(417)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(418)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(419)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(420)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(421)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(422)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(424)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(425)), {C=0.0012941176470588236, S=0.001069934831242097}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(426)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(427)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(428)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(430)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(431)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(432)), {C=0.0007058823529411764, S=0.0005836008170411438}
