(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(107)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(785)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(819)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(822)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(837)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(841)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(852)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(865)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(892)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(958)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(982)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(991)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(992)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1031)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1070)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1177)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1198)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1207)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1212)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1224)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1276)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1277)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1327)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1349)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1357)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1410)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1419)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1434)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1447)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1507)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1528)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(107)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(108)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(124)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(180)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(225)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(274)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(311)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(334)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(341)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(356)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(359)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(368)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(375)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(384)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(386)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(394)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(438)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(493)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(502)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(602)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(619)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(639)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(642)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(785)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(819)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(822)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(837)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(841)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(852)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(865)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(892)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(958)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(982)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(991)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(992)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1031)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1070)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1177)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1198)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1207)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1212)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1224)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1276)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1277)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1327)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1349)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1357)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1410)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1419)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1434)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1447)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1507)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1528)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(107)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(108)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(124)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(180)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(225)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(274)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(311)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(334)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(341)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(356)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(359)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(368)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(375)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(384)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(386)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(394)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(438)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(493)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(502)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(602)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(619)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(639)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(642)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(785)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(819)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(822)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(837)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(841)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(852)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(865)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(892)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(958)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(982)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(991)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(992)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1031)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1070)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1177)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1198)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1207)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1212)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1224)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1276)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1277)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1327)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1349)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1357)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1410)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1419)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1434)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1447)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1507)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(1528)), {C=0.000501002004008016, S=0.00048633401420095323}
