(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006080875646093037, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0006080875646093037, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0005067396371744199, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0007094354920441876, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0008107834194790717, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0005067396371744199, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1438)), {C=0.0005067396371744199, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0005067396371744199, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0006080875646093037, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0007094354920441876, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1532)), {C=0.0005067396371744199, S=0.00048633401420095323}
