(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(15)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(384)), {C=0.0007317583106836713, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(400)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(404)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(414)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(417)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(441)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(443)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(460)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(468)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(497)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(537)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(544)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(574)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(579)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(588)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(603)), {C=0.0007317583106836713, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(614)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(640)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(641)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(650)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(668)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(692)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(850)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(869)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(871)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(879)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(886)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(893)), {C=0.0007317583106836713, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(897)), {C=0.0007317583106836713, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(911)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(926)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(950)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(952)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(956)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(968)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(976)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1020)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1054)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1075)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1184)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1224)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1270)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1273)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1299)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1311)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1377)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1378)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1384)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1392)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1403)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1411)), {C=0.0007317583106836713, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1434)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1446)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1448)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1454)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1467)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1491)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1495)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1503)), {C=0.0009408321137361489, S=0.0008754012255617158}
