(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(2)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(170)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(172)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(173)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(174)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(176)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(177)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(178)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(180)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(181)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(184)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(191)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(192)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(194)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(196)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(197)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(201)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(211)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(214)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(216)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(221)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(222)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(223)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(225)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(228)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(229)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(231)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(232)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(233)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(234)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(235)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(240)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(241)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(243)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(244)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(248)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(251)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(254)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(259)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(260)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(262)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(263)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(264)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(267)), {C=0.001110886689557665, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(268)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(271)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(272)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(273)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(276)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(277)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(278)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(282)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(284)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(285)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(287)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(291)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(292)), {C=0.0010098969905069683, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(295)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(296)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(297)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(301)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(304)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(309)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(311)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(313)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(315)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(317)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(318)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(324)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(325)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(330)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(331)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(335)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(337)), {C=0.0010098969905069683, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(340)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(347)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(348)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(350)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(352)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(354)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(355)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(357)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(358)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(359)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(362)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(364)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(366)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(367)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(368)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(370)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(371)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(372)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(373)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(374)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(376)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(377)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(379)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(383)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(384)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(385)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(387)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(389)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(390)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(394)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(397)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(398)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(402)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(404)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(406)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(407)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(408)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(410)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(413)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(414)), {C=0.0010098969905069683, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(415)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(417)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(419)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(420)), {C=0.0008079175924055747, S=0.0007781344227215252}
