(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(9)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(113)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(115)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(118)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(120)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(126)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(127)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(131)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(134)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(139)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(140)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(141)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(143)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(144)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(146)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(147)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(150)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(151)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(152)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(153)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(164)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(165)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(167)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(168)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(176)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(179)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(180)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(181)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(182)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(185)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(190)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(192)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(194)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(195)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(198)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(201)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(202)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(203)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(205)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(206)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(217)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(221)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(226)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(228)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(231)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(234)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(235)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(239)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(240)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(243)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(252)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(253)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(258)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(261)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(262)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(263)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(264)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(266)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(269)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(271)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(273)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(274)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(279)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(289)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(292)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(293)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(296)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(299)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(302)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(304)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(308)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(311)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(312)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(315)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(322)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(328)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(329)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(331)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(332)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(333)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(334)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(337)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(341)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(343)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(344)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(347)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(349)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(350)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(351)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(355)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(359)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(360)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(362)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(363)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(366)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(368)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(371)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(372)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(373)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(378)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(379)), {C=0.0011353080813293426, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(380)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(383)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(384)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(386)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(389)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(391)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(394)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(396)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(397)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(398)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(399)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(400)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(401)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(404)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(405)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(411)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(412)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(413)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(414)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(417)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(419)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(422)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(423)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(424)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(425)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(426)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(427)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(428)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(430)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(431)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(432)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(433)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(434)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(438)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(439)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(440)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(441)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(443)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(445)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(446)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(447)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(448)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(449)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(454)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(455)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(456)), {C=0.0011353080813293426, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(458)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(462)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(463)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(465)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(466)), {C=0.0008256786046031583, S=0.0007781344227215252}
