(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(11)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(264)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(277)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(282)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(290)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(297)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(299)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(303)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(304)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(310)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(312)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(317)), {C=0.0010312822275696115, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(322)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(332)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(334)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(336)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(342)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(350)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(363)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(373)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(374)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(378)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(379)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(383)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(385)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(388)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(389)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(390)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(393)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(395)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(397)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(399)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(406)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(410)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(411)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(412)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(414)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(417)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(426)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(427)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(428)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(430)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(432)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(434)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(437)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(451)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(453)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(457)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(464)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(469)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(477)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(484)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(486)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(489)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(500)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(502)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(505)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(510)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(513)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(515)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(517)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(519)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(529)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(530)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(536)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(547)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(549)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(556)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(566)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(572)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(573)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(574)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(583)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(585)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(590)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(593)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(600)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(608)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(617)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(623)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(627)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(629)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(634)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(638)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(663)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(666)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(678)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(681)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(685)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(687)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(693)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(695)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(696)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(712)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(714)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(718)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(725)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(728)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(729)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(732)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(733)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(736)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(739)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(748)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(761)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(762)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(776)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(777)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(795)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(806)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(820)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(822)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(823)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(827)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(829)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(830)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(831)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(833)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(835)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(847)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(850)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(853)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(855)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(858)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(859)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(864)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(866)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(868)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(876)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(880)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(881)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(887)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(896)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(898)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(900)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(912)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(915)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(916)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(917)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(919)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(947)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(951)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(952)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(953)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(956)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(957)), {C=0.0005729345708720064, S=0.00048633401420095323}
