(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1500)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1537)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(133)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(260)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(410)), {C=0.0007595898214963918, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(447)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(475)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(642)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(684)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(825)), {C=0.0007595898214963918, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1207)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1275)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1467)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1500)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1537)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(133)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(260)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(410)), {C=0.0007595898214963918, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(447)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(475)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(642)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(684)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(825)), {C=0.0007595898214963918, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1207)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1275)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1467)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1500)), {C=0.0006329915179136599, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1537)), {C=0.0006329915179136599, S=0.00048633401420095323}
