(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(4)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(260)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(269)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(272)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(276)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(295)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(301)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(302)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(324)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(326)), {C=0.0009078529278256923, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(335)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(338)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(340)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(345)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(348)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(350)), {C=0.0009078529278256923, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(358)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(362)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(376)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(380)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(385)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(390)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(404)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(407)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(414)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(427)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(436)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(441)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(442)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(446)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(447)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(452)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(453)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(456)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(462)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(465)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(468)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(470)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(475)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(480)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(485)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(488)), {C=0.0010213345438039039, S=0.0008754012255617158}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(494)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(507)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(520)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(529)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(544)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(548)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(559)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(564)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(567)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(573)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(574)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(578)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(587)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(599)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(603)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(609)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(624)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(626)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(636)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(640)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(642)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(644)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(660)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(668)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(680)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(685)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(718)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(721)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(723)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(725)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(728)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(729)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(744)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(763)), {C=0.0009078529278256923, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(773)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(797)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(801)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(812)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(814)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(822)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0012482977757603268, S=0.001069934831242097}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(829)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(833)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(836)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(842)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(844)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(847)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(848)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(849)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(850)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(862)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(873)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(883)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(885)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(890)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(892)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(895)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(916)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(927)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(928)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(941)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(950)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(951)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(952)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(953)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(961)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(964)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(968)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(970)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(971)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(972)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(976)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(980)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(996)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1002)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1003)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1009)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1012)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1017)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1022)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1035)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1059)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1071)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1074)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1091)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1097)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1103)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1107)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1113)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1123)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1151)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1152)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1160)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1165)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1167)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1173)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1179)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1190)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1196)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1199)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1203)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1213)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1217)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1218)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1219)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1227)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1230)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1234)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1245)), {C=0.0005674080798910577, S=0.00048633401420095323}
