(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(249)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(254)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(261)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(264)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(283)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(287)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(289)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(297)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(301)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(322)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(324)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(325)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(337)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(342)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(351)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(358)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(361)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(363)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(366)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(368)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(370)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(371)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(375)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(384)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(386)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(400)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(404)), {C=0.0010553470919324578, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(411)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(413)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(414)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(420)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(423)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(426)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(437)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(443)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(455)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(456)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(464)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(473)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(480)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(486)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(495)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(506)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(513)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(528)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(534)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(536)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(539)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(540)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(542)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(543)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(547)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(550)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(553)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(554)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(563)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(567)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(575)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(587)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(590)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(591)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(592)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(593)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(596)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(606)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(608)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(623)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(638)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(645)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(658)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(668)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(672)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(673)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(681)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(689)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(691)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(712)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(716)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(719)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(720)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(722)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(737)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(746)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(755)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(757)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(760)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(766)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(770)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(773)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(774)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(778)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(782)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(786)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(799)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(807)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(813)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(814)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(816)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(819)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(837)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(846)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(847)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(854)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(859)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(863)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(865)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(870)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(875)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(882)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(886)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(888)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(892)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(909)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(913)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(946)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(947)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(948)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(953)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(961)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(966)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(967)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(971)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(975)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(976)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(978)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(986)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(992)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(994)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(996)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1006)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1014)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1015)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1018)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1019)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1036)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1049)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1057)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1058)), {C=0.0005863039399624766, S=0.00048633401420095323}
