(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(17)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(782)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(842)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(848)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(869)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(891)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(895)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(908)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(915)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(932)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(938)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(948)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(960)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(972)), {C=0.0009449562957713207, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(977)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1021)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1032)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1082)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1088)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1092)), {C=0.0009449562957713207, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1145)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1147)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1171)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1172)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1187)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1232)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1256)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1312)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1344)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1377)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1403)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1418)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1441)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1446)), {C=0.0009449562957713207, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1458)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1485)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1487)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1491)), {C=0.0007087172218284905, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1502)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1509)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1511)), {C=0.0005905976848570755, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(1533)), {C=0.0005905976848570755, S=0.00048633401420095323}
